fname,summary
test_0,"#Person1# 은 Ms. Dawson에게 사내 메모를 작성하고 배포해 줄 것을 요청합니다. #Person2# 는 즉시 메시지 사용이 금지되며, 이는 사무실 내 직원 간 통신에 적용됩니다. 또한 내외부 통신은 경고 및 해고 조치를 받을 수 있습니다."
test_1,"#Person1# 은 #Person2# 에게 출퇴근 시간에 교통체증이 심한 Carrefour 교차로에서 다른 교통수단을 찾아보라고 제안하며, 대중교통을 이용하는 것이 더 나은 선택이라고 조언합니다."
test_2,"#Person1#이 Kate에게 Masha와 Hero가 이혼을 신청했다고 말한다. 그들은 두 달 동안 별거 중이었고, 모든 것이 조용하고 원만하게 진행되고 있다."
test_3,"#Person1# 은 Brian에게 생일 선물로 목걸이를 주고, 파티에서 함께 춤을 추자고 제안합니다."
test_4,#Person1# 과 #Person2# 는 올림픽 공원의 중심인 올림픽 스타디움의 위치와 시설에 대해 이야기합니다.
test_5,"#Person1# 은 #Person2# 에게 사업 계획서를 작성하고 투자자를 모으는 것이 어렵지 않다고 말하며, 사업 아이디어를 어떻게 실현할지 설명해야 한다고 설명합니다. 또한, 금융 분석의 중요성을 강조하며 사업 시작의 번거로움을 피하라고 조언합니다."
test_6,#Person2#는 간지럽고 어지럽습니다. #Person1#는 #Person2#가 수두에 걸렸다고 생각하고 #Person2#를 멀리 떨어뜨리려고 합니다. #Person2#는 오트밀 목욕을 하려고 합니다.
test_7,#Person2# 는 #Person1# 에게 세탁 서비스 요금에 다른 사람의 요금이 추가되었음을 알립니다. #Person3# 은 관련 부서에 확인해보라고 조언합니다.
test_8,#Person1#이 스티븐에게 아내와 비서 사이에 일어난 일에 대해 이야기한다. 스티븐은 #Person1#을 설득하려고 노력할 것이다.
test_9,"#Person2# 는 #Person1# 에게 유명한 사람들에 대해 이야기하며, 아브라함 링컨을 존경한다고 말합니다."
test_10,#Person2# 는 #Person1# 에게 중국 북부의 심한 황사와 모래가 호흡기 감염을 유발한다고 설명합니다. 또한 황사가 사람들에게 골칫거리라고 합니다.
test_11,"#Person1# 은 Francis의 생일 파티에 #Person2# 의 차를 초대하고, 원격 조종 자동차 모델에 대해 설명합니다. #Person1# 는 그 차를 매우 좋아합니다."
test_12,Tony는 부정행위를 하다가 들킨 것에 대해 Steven에게 불합격에 대해 이야기한다. Steven은 그에게 열심히 공부하라고 조언한다.
test_13,#Person1#은 9시 30분 기차를 타야 하므로 나가야 합니다. 톰은 아직 시간이 많다고 생각합니다.
test_14,#Person1# 은 #Person2# 에게 자신의 삶을 어떻게 조정해야 할지 조언을 구하고 있습니다.
test_15,"#Person1# 은 #Person2# 에게 Ruojia의 파티에 참석할 것을 제안하고, #Person3# 는 그녀의 이메일을 확인한다."
test_16,"#Person1# 은 #Person2# 에게 스트립을 잡아당기고, 뒷면을 떼어내면 친구가 된다고 제안합니다. 그러나 두 사람 모두 사진이 잔인하다고 느낍니다."
test_17,#Person1# 은 #Person2# 에게 마이크의 여동생과 그의 가족에 대해 이야기합니다.
test_18,#Person2# 가 #Person1# 에게 체온을 측정하고 결석할 경우 부모님에게 연락하라고 안내합니다.
test_19,"#Person2# 는 새 휴대폰을 사고 싶어 하고, #Person1# 은 카메라와 MP3 플레이어가 있는 모델을 추천합니다."
test_20,"주디는와 프랭크에게 새 직장에 대해 이야기합니다. 주디가 우체국에서 일하게 된 이유를 설명하고, 건강보험 혜택이 직원들에게 가장 큰 혜택이라고 말합니다."
test_21,"#Person2#는 #Person1#에게 #Person2#의 기술, 자격증, 훈련, 그리고 이 직책에 적합한 경력에 대해 이야기합니다."
test_22,"#Person1# 은 미디엄 레어 스테이크를 주문했지만, #Person2# 는 익지 않아서 다른 메뉴로 주문합니다."
test_23,"#Person1# 은 #Person2# 에게 Tom의 소설이 노벨상을 받은 소식을 전하며, 축하 파티를 열겠다고 제안합니다."
test_24,#Person2# 는 #Person1# 에게 자신이 학생 엔지니어로서 다양한 재료의 강도와 부식 저항성에 대해 연구한 경험을 이야기합니다.
test_25,"#Person2# 는 일주일에 두세 번 술을 마십니다. #Person1# 은 맥주 두 잔, 칵테일 세 잔을 마시며, #Person2# 도 이에 동의합니다. 그들은 내일 밤에 피처 프로모션을 하기로 했습니다."
test_26,"#Person1# 은 메이에게 소풍을 준비하는 것을 도와달라고 요청합니다. 메이는 #Person1# 에게 토스트와 치킨 윙, 크래커, 일회용 접시, 컵, 소풍용 담요를 거실로 옮기는 것을 부탁합니다."
test_27,"James는 Muriel Douglas와 그의 동료 Susan Kim에게 새 계정에 대해 이야기합니다. 그들은 L.A.에서 즐거운 시간을 보냈고, Tahoe에서 스키를 타는 것이 더 재미있을 것 같다고 동의합니다. Sisan은 조만간 다시 오고 싶다고 말합니다."
test_28,#Person1#은 ATM에서 돈을 인출하려고 합니다. #Person2#는 #Person1#에게 지시를 내립니다. #Person1#은 돈을 이체하려고 합니다. #Person2#는 #Person1#의 돈을 돌려주지 않고 문을 잠급니다.
test_29,#Person2# 는 사람들과 잘 어울릴 수 있는 사교적인 사람입니다. #Person1# 은 #Person2# 에게 대화에서 가장 중요한 것은 진심이라고 말합니다.
test_30,"Mr. Polly는 상사에게 가게에서 음료수를 사달라고 요청했지만, 상사는 거절했습니다."
test_31,모니카는 프랜시스에게 재무 보고서를 작업할 수 있는지 묻습니다. 프란시스는 금요일 오후에 보고서를 검토할 예정입니다.
test_32,#Person1#과 #Person2#는 다음 주 인터뷰를 준비하기 위해 워크숍에 참석하고 있다. 그들은 인터뷰를 준비하는 방법에 대해 이야기한다.
test_33,"컷은 Mike에게 Jason과 Laura의 반응에 문제가 있다고 말하고, 대사를 할 때 적절하지 않다고 느끼면 다른 방법을 시도해보라고 제안합니다."
test_34,#Person1# 은 Mrs. Todd에게 아내가 쇼핑을 가자고 기다리고 있다고 말합니다. #Person1# 도 고마워합니다.
