fname,dialogue,summary,topic
aug_0000,"#Person1#: 이 집은 어떤 특색 있는 메뉴가 있나요?
#Person2#: 오늘은 특별 추천으로 사천 마라탕과 동파육이 있습니다. 매운 맛과 부드러움이 조화를 이룹니다.
#Person1#: 마라탕은 처음인데, 엄청 매울까요?
#Person2#: 맵기 정도는 조절할 수 있어요. 오늘은 부재료로 버섯과 해산물도 추가했어요.
#Person1#: 동파육은 어떻게 만들어지나요?
#Person2#: 돼지고기를 꿀과 간장에 졸인 후 튀기는 전통 방식으로 요리합니다. 오늘 저녁 식사로 제격이에요.
#Person2#: 디저트 드릴까요?
#Person1#: 아니요, 괜찮아요. 배가 너무 불러요.
#Person2#: 식사는 즐거우셨나요?
#Person1#: 제가 먹어본 저녁 중에 가장 맛있었어요.
#Person2#: 마음에 드셨다니 정말 기뻐요.",#Person2#는 Doctor Wong이 중국 음식점에 방문했을 때 중국 음식의 다양한 특징을 소개합니다. Wong은 저녁 식사를 즐겼습니다.,중국 음식 경험
aug_0001,"#Person1#: 엘리베이터 좀 잡아주시겠어요? 정말 감사합니다.
#Person2#: 괜찮아요. 몇 층 가세요?
#Person1#: 18층이요, 제일 위층이에요.
#Person1#: (숨을 깊게 쉬며) 사실 지금 엄청 긴장돼요. Dale Mendoza와의 인터뷰가 곧 있어요.
#Person2#: 오, 그 유명한 투자자 앞에서요? 당연히 떨릴 만하네요. 준비 많이 하셨겠죠?
#Person1#: 네, 그래도 머릿속이 하얘질까 봐 걱정이에요. 혹시 조언해주실 수 있나요?
#Person2#: 진정하세요. 당신은 이미 충분히 준비했어요. 그냥 대화한다고 생각하세요.
#Person1#: 네, 그렇게 해볼게요. 조언 감사합니다. 엘리베이터에서 만나 다행이에요.",#Person1#과 #Person2#는 엘리베이터에서 만나 #Person1#이 Dale Mendoza와의 인터뷰를 앞두고 긴장하고 있음을 얘기합니다.,인터뷰 긴장감
aug_0002,"#Person1#: 헐! 거기 엄청 늦은 시간일 텐데. 몇 시야?
#Person2#: 막 2시 넘었어.
#Person1#: 무슨 일이야? 잠 못 자?
#Person2#: 아니, 사실 너 기다리고 있었어. 너한테 할 말이 있어.
#Person1#: 진짜? 뭔데?
#Person2#: 오늘 네 도시에 있는 회사에서 일하라는 제안을 받았어.
#Person1#: 정말? 어떤 회사인데?
#Person2#: IT 스타트업인데, 네가 전에 얘기한 그 분야랑 비슷해.
#Person1#: 오, 그럼 좋아! 근무 조건은 어때?
#Person2#: 괜찮아. 다음 주 휴일에 회사 직접 보러 갈 생각이야. 같이 갈 수 있지?
#Person1#: 당연하지! 그때 시간 비워놓을게. 어디가 좋은지 제대로 소개해줘야지.
#Person2#: 고마워. 너 덕분에 마음이 좀 놓인다. 빨리 만나서 얘기해.
#Person1#: 나도 빨리 보고 싶다! 내일 중으로 일정 확정해줘.","#Person2#가 #Person1#에게 #Person1#의 도시에 있는 회사에서 일하라는 제안을 받았다고 말하고, 다가오는 휴일에 그 도시를 방문하여 회사를 직접 확인해보고 싶다고 한다. #Person1#은 그때 시간을 비워 #Person2#를 빨리 만나고 싶다고 한다.",직장 제안
aug_0003,"#Person1#: Steve님, 술집 운영 경험이 오래되셨다고 들었어요. 실제로 어떤 점이 가장 힘들었나요?
#Person2#: 아, 4년 차인데요. 체력적으로 힘든 건 당연하고, 예상치 못한 손님 대응이나 분위기 조절이 제일 어려웠죠.
#Person1#: 그래도 오랜 경험 덕분에 노하우가 생기셨겠어요. 좋은 술집을 만들기 위해 가장 중요한 건 뭐라고 생각하세요?
#Person2#: 네, 네. 여러 가지 다양한 술집에서 일했어요.
#Person2#: 네, 네. 여러 가지 다양한 술집에서 일했어요.
#Person1#: 좋은 술집은 어떤 것인가요? 다양한 요소가 있어야 한다고 하셨는데요.
#Person2#: 글쎄요, 먼저 좋은 손님이 와야 하고, 좋은 맥주를 팔고, 그걸 잘 유지해야죠. 가장 중요한 건 자신의 태도를 잘 유지하는 거예요. 피곤하더라도요. 그런데 만약 당신이 좋은 분위기를 만들어내면 그게 손님에게도 영향을 미친다고 생각해요. 좋은 손님이 들어오게 되는 거죠.
#Person1#: 네, 정말 공감해요. 많은 사람들이 술집 주인이 좋은 직업이라고 생각하는 것 같아요. 다들 '아, 나도 은퇴하면 시골 술집 하나 갖고 싶어.' 라고 하죠. 하지만 제 생각에는 정말 힘든 일이에요.","Steve는 술집 주인으로 4년간 일했으며, 술집과 관련된 다양한 경험을 가지고 있습니다. 그는 좋은 술집이란 좋은 손님과 맥주, 그리고 긍정적인 분위기를 유지하는 것이 중요하다고 설명합니다. #Person1#은 술집 주인이 힘든 직업이라고 생각합니다.",술집 운영 경험
aug_0004,"#Person1#: 오늘 무슨 날인지 알아?
#Person2#: 당연히 알지. 발렌타인데이잖아. 근데 잭은 벌써 잊어버렸더라니까?
#Person1#: 설마? 너한테 선물도 안 줬어?
#Person2#: 아무것도 없어. 아침에 문자 한 통도 없었어. 이게 무슨 날인데...
#Person1#: 그럼 오늘 혼자 보내려고? 너무 불쌍한데.
#Person2#: 혼자라도 맛있는 거 먹으러 갈 거야. 차라리 편할 수도 있겠다.
#Person1#: 근데 발렌타인데이엔 외식을 많이 하니까 예약하기 힘들겠다.
#Person2#: 알아. 그냥 집에서 배달시킬까 생각 중이야.
#Person1#: 그런데 여자친구들은 남자친구한테 선물 주는 날이잖아. 넌 뭘 받았어?
#Person2#: 알잖아, 여자들은 이런 '큰 날'을 잊어도 되지만, 남자들은 안 된다니까.
#Person1#: 그거 너 핸드폰 아니야?
#Person2#: 아, 잭이야. 잠깐만.
#Person1#: 와, 타이밍 끝내준다.
#Person2#: 오늘 저녁에 저녁 먹자고 하는데. 같이 갈래?
#Person1#: 에이, 셋이라니 좀 그렇잖아?
#Person2#: 그게 왜?
#Person1#: 그냥 가! 발렌타인데이잖아!","#Person1#이 #Person2#에게 발렌타인데이라는 걸 알려준다. #Person2#가 남자친구 잭이 발렌타인데이를 잊었다고 푸념하던 중, 잭이 전화해서 저녁 식사에 초대한다.",발렌타인데이
aug_0005,"#Person1#: 지금 출발해야 할까?
#Person2#: 서두르지 말고 천천히. 살짝 가속 페달을 밟아봐.
#Person1#: 아무 일도 안 돼!
#Person1#: 기어 위치가 'P'로 돼 있는데 움직이는 게 이상한가요?
#Person2#: 맞아, 주차 모드라서 바퀴가 잠겨 있어. 드라이브로 변속해야 움직여.
#Person1#: 드라이브가 어디에요? 기어 모양이 헷갈려요!
#Person2#: 레버를 'D'로 옮기면 돼. 부드럽게 움직일 때까지 잠깐 기다려봐.",#Person2#는 #Person1#에게 운전 방법과 차량 기어에 관한 설명을 제공합니다.,운전 교육
aug_0006,"#Person1#: 인터넷 고쳐줄 사람 좀 보내줄 수 있어?
#Person2#: 문제가 있는 거야?
#Person1#: 인터넷 연결하는 데 문제가 있어.
#Person2#: 인터넷이 언제부터 문제였는지 말해줄 수 있어?
#Person1#: 지난 며칠 동안 이러고 있어.
#Person2#: 인터넷 화면은 뜨긴 해?
#Person1#: 화면은 뜨는데 연결이 안 되는 것 같아.
#Person2#: 모뎀과 공유기 전원은 재부팅해 봤어?
#Person1#: 한 번 해봤는데 별 차도가 없더라.
#Person2#: 다른 기기도 같은 증상이니? 휴대전화로도 확인 가능?
#Person1#: 집 와이파이는 다 안 되고, 휴대폰 데이터는 잘 돼.
#Person2#: 알겠습니다. 지금 바로 기술자를 보내드릴 테니까 10분만 기다려 주세요.",#Person1#의 인터넷 연결에 문제가 발생했습니다. #Person2#는 문제 지속 시간을 확인하고 바로 기술자를 보내겠다고 약속합니다.,인터넷 연결 문제 해결
aug_0007,"#Person1#: 오늘 약속 장소까지 50마일 정도 남았는데, 좀 천천히 가도 될 것 같아.
#Person2#: 천천히? 지금 출발해야 늦지 않을 텐데.
#Person1#: 아직 오후 3시밖에 안 됐어. 시간 여유 많다니까.
#Person2#: 그런데 출발 시간이 늦어질수록 교통 체증 심해질 거야.
#Person2#: 그래도 서둘러야 해. 곧 러시아워가 시작될 거야.
#Person1#: 괜찮아, 아직 시간이 많아.
#Person2#: 근데 오늘 금요일이잖아. 주말에는 이 도로가 항상 꽉 막히잖아, 안 그래?
#Person1#: 맞아.
#Person2#: 그래도 서둘러야 해. 곧 러시아워가 시작될 거야.
#Person1#: 괜찮아, 아직 시간이 많아.
#Person2#: 근데 오늘 금요일이잖아. 주말에는 이 도로가 항상 꽉 막히잖아, 안 그래?
#Person1#: 맞아.","#Person1#과 #Person2#는 약 50마일을 가야 하며, #Person1#은 시간이 충분하다고 생각하지만, #Person2#는 교통 체증을 피하기 위해 서둘러야 한다고 주장합니다.",교통 체증
aug_0008,"#Person1#: 요즘 내전 문제가 계속 심각해지는 것 같아. 왜 이런 전쟁이 반복되는 걸까?
#Person2#: 아마 종교나 민족 갈등, 자원 분배 문제가 주요 원인인 것 같아. 역사적으로도 그랬고.
#Person1#: 그런데 국제사회도 개입하지만 오히려 상황을 악화시키기도 하잖아.
#Person2#: 맞아. 외부 세력의 개입으로 전쟁만 장기화되는 경우가 많아. 너라면 어떻게 해결하겠어?
#Person2#: 너는 그게 어떻게 끝날 수 있다고 생각해?
#Person1#: 쉬운 방법은 없는 것 같아.
#Person2#: 내 생각에는 그걸 멈추는 더 나은 방법은 그들의 금전적 지원을 끊는 거야.
#Person1#: 응, 맞아!",내전의 주요 원인과 해결 방안에 대한 대화,전쟁의 원인과 해결 방안
aug_0009,"#Person1#: 바다 전망 보인다고 했잖아.
#Person2#: 음, 공장 굴뚝 사이로 바다가 조금 보이긴 하네.
#Person1#: 이렇게까지 뿌옇게 보일 줄은 몰랐어. 광고와 너무 다른데?
#Person2#: 어차피 가격까지 포함된 거 아니야? 눈감아 줘야지.
#Person1#: 눈감아 주기엔 너무 심한데… 내일 당장 환불 요청할 거야.
#Person2#: 환불은 무슨… 그냥 창 열고 바다 소리나 들어.
#Person1#: 이건 사기 수준이야. 당장 관리실에 항의해야겠어.
#Person2#: 뭐라도 하려면 일단 잠은 자야지. 내일 이야기하자.",#Person1#이 바다 전망이 좋지 않은 것에 대해 불평하자 #Person2#는 그냥 참아야 한다고 말합니다.,바다 전망 불만
