fname,summary
test_0,#Person1#은 Ms. Dawson에게 모든 직원에게 즉시 메시지 사용을 금지하는 사내 메모를 작성하고 배포하라고 요청합니다. Ms. Dawson은 이 정책이 내외부 통신에 모두 적용된다고 확인합니다.
test_1,"#Person2#는 출퇴근 시간에 차로 출퇴근하는 것이 어려움을 겪고 있다. #Person1#은 대중교통을 이용하는 것을 제안하고, #Person2#는 이를 고려하기로 한다."
test_2,"#Person1#은 #Person2#에게 Masha와 Hero가 이혼 중이라고 말합니다. #Person1#은 Masha가 양육권을 가지기로 했고, 모든 것이 조용하고 원만하게 진행되고 있다고 설명합니다."
test_3,"#Person1#은 Brian의 생일을 축하하기 위해 파티에 참석하고, Brian은 #Person1#에게 춤을 출 것을 허락한다."
test_4,"#Person1#과 #Person2#는 올림픽 스타디움을 방문하며, #Person2#는 스타디움의 완공 시기와 좌석 수를 설명합니다."
test_5,#Person1#은 회사를 그만두고 사업을 시작하려고 합니다. #Person2#는 #Person1#에게 사업 계획서 작성의 중요성과 복잡성을 설명합니다. #Person1#은 이 과정이 너무 복잡해서 기존 직장에서 계속 일하는 것이 낫다고 생각합니다.
test_6,"#Person2#는 간지러움과 어지러움을 느끼고 있으며, #Person1#은 #Person2#가 수두에 걸렸다고 생각합니다. #Person1#은 #Person2#를 멀리 떨어뜨리려고 하지만, #Person2#는 오트밀 목욕을 하기로 합니다."
test_7,"#Person2#는 체크아웃 시 청구서를 받았으나, 세탁 서비스 요금이 잘못 청구된 것을 발견했습니다. #Person1#은 이를 확인하고 수정했습니다."
test_8,#Person1#은 아내가 비서와 바람피운 것을 알게 되어 이혼을 요구하고 있다. #Person1#은 스티븐에게 아내를 설득해 이혼을 막아달라고 요청한다.
test_9,"#Person1#과 #Person2#는 아브라함 링컨의 인품에 대해 이야기하며, 그가 겸손하고 평등한 권리를 위해 싸운 용기와 큰 비전을 존경한다고 언급합니다."
test_10,"#Person1#은 #Person2#에게 허베이에 가는 것을 권하지 않으며, 황사가 지역 주민들에게 미치는 영향에 대해 설명합니다."
test_11,"#Person2#는 #Person1#의 생일에 참석하여 선물을 전달합니다. #Person1#은 선물이 마음에 들고, #Person2#는 선물이 #Person1#에게 적합하다고 생각합니다."
test_12,"Tony는 부정행위로 인해 불합격 판정을 받았고, Steven은 그에게 열심히 공부하라고 조언한다."
test_13,"#Person1#은 9시 30분 기차를 타야 해서 서둘러야 하지만, 톰은 여유가 있다고 생각합니다."
test_14,"#Person1#은 삶을 조정하는 방법에 대해 #Person2#에게 조언을 구합니다. #Person2#는 충분한 수면, 적당한 음주, 아침 운동을 권장합니다."
test_15,#Person1#은 #Person2#에게 Ruojia의 결혼 파티에 가자고 제안합니다. #Person2#는 놀랍지만 기뻐합니다. 그들은 각자 가져갈 물건을 준비할 계획입니다.
test_16,"#Person1#은 #Person2#에게 스트립을 잡아당기고 뒷면을 떼어내라고 하지만, #Person2#는 잔인하다고 생각합니다."
test_17,"#Person1#은 마이크에게 그의 여동생에 대해 묻고, 마이크는 그녀가 키가 크고 예쁘며, 그와 닮았다고 말합니다."
test_18,"#Person1#은 머리가 아파서 #Person2#에게 도움을 요청합니다. #Person2#는 #Person1#의 체온을 측정하고, 다음 번에는 부모님 중 한 분이 학교에 연락하라고 조언합니다."
test_19,"#Person2#는 새 휴대폰을 구매하고자 하며, #Person1#은 카메라와 MP3 플레이어가 있는 모델을 추천합니다."
test_20,"프랭크는 주디에게 우체국에서 일하게 되었다고 말하며, 업무 일정이 빡빡하지만 좋은 건강보험 혜택을 제공한다고 설명합니다."
test_21,"#Person2#는 #Person1#에게 컴퓨터 프로그램 작성 능력, 비서 업무 능력, 자격증, 사무 기술 훈련, 그리고 이 직책에 적합한 경력을 설명합니다."
test_22,#Person1#은 #Person2#에게 스테이크가 미디엄 레어로 주문되었지만 너무 잘 익었다고 불만을 제기합니다. #Person2#는 #Person1#을 위해 다른 음식을 준비해 줄 것입니다.
test_23,"#Person1#은 Tom에게 그의 소설이 노벨상을 수상했다고 알립니다. Tom은 이 소식을 믿기 어려워하며, #Person1#은 그를 칭찬합니다."
test_24,#Person2#는 #Person1#에게 자신의 자격과 이전 직장에서의 업무 경험을 설명합니다.
