fname,dialogue,summary,topic
train_0_aug,"#Person1#: 안녕하세요, Mr. Smith. 저는 Dr. Hawkins입니다. 오늘 무슨 일로?#Person2#: 받으려고 왔어요.#Person1#: 네, 5년 동안 안 받으셨네요. 매년 한 번씩 받으셔야 해요.#Person2#: 알죠. 특별히 아픈 데가 없으면 굳이 갈 없다고 생각했어요.#Person1#: 음, 질병을 피하려면 미리 발견하는 게 제일 좋거든요. 본인을 위해서라도 매년 한 번은 오세요.#Person2#: .#Person1#: 여기 좀 볼까요. 눈과 귀는 괜찮으시네요. 한 번 쉬어보세요. Mr. Smith, 담배 피우세요?#Person2#: .#Person1#: 담배가 폐암하고 주된 원인인 거 아시죠? 끊으셔야 해요.#Person2#: 수백 번 시도했는데, 습관이 안 끊어져요.#Person1#: 음, 도움 될만한 수업과 약물들이 있습니다. 가시기 전에 더 드릴게요.#Person2#: 네, 고맙습니다, 선생님.","Mr. Smith는 Dr. Hawkins에게 건강검진을 받으러 와서, 매년 검진 필요성을 안내받고 흡연 습관 개선을 위한 도움을 제안받았습니다.",건강검진
train_1_aug,"#Person1#: 안녕하세요, . Parker. 잘 지내셨나요?#Person2#: 안녕하세요, Dr. . 잘 지내고 있어요. Ricky랑 저희 둘 다 백신 맞으러 왔어요.#Person1#: 알겠습니다. 백신 기록을 보니 Ricky는 소아마비, 파상풍, 그리고 B형 간염 예방접종을 받았네요. 지금 14개월이라 간염, , 홍역 예방접종을 맞아야 해요.#Person2#: 풍진과?#Person1#: 지금은 이 정도만 맞고, 몇 주 후에 나머지를 할 있어요.#Person2#: 좋아요. 그리고 저도 파상풍 부스터가 필요할 것 같아요. 마지막으로 맞은 지 아마 15년은 된 것!#Person1#: 기록을 확인해서 간호사에게 부스터도 맞출 수 할게요. 이제 Ricky 팔 꽉 잡아주세요, 좀 따끔할 수 있어요.","Mrs. Parker가 Ricky와 함께 백신 접종을 위해 방문하였고, Dr. Peters는 Ricky에게 적절한 백신을 접종하도록 안내합니다.",백신 접종
train_2_aug,"#Person1#: 저기요, 열쇠 세트 본 적?#Person2#: 어떤 열쇠요?#Person1#: 열쇠 다섯 개랑 작은 장식이 달려 있어요.#Person2#: 아, ! 못 봤어요.#Person1#: 그럼, 같이 좀 찾아주실 수? 여긴 처음이라서요.#Person2#: . 도와드릴게요.#Person1#: 친절하시네요.#Person2#: 아니에요. 이봐요, 찾았어요.#Person1#: 아, 감사합니다! 어떻게 할지 모르겠네요.#Person2#: .",#Person1#은 열쇠 세트를 잃어버리고 #Person2#에게 찾는 것을 도와달라고 요청합니다.,열쇠 분실
train_3_aug,"#Person1#: 너 여자친구 있는 거 왜 말 했어?#Person2#: 미안해, 네가 있는 줄 알았어.#Person1#: 그런데 사랑하는 사람 있다고.#Person2#: 내가 했었나?#Person1#: 안.#Person2#: 말하잖아.#Person1#: 맞아, 그런데 이전에 말할 있었잖아.#Person2#: 관심 없을 줄 알았어.#Person1#: 진심이야? 결혼할 말도 안 하다니 참.#Person2#: , 별로 중요하지 않다고 생각했어.#Person1#: 아, 남자들 똑같아!",#Person1#은 #Person2#가 여자친구가 있고 결혼할 예정이라는 사실을 말하지 않아서 화가 났습니다.,여자친구와의 결혼
train_4_aug,"#Person1#: 안녕, 오늘 너무 보이네요. 저랑 춤 한 곡 추실래요?#Person2#: 고맙네요! 저는 춤 잘 못 춰요.#Person1#: 괜찮아요. 제가 멋진 춤 동작 알려드릴게요. 제 Malik이에요.#Person2#: 만나서. 저는 Wen이고, 이 친구는 Nikki예요.#Person1#: 기분 어때요? 친구랑 춤춰도 될까요?#Person2#: 괜찮아요, 대신 제 발을 괜찮으시다면요.#Person1#: 알겠어요. 좋아요!!","Malik은 Wen과 Nikki에게 춤을 제안하고, Wen은 발을 밟는 것을 감수하면 괜찮다고 응답합니다.",춤 제안
train_5_aug,"#Person1#: 생일, Aims!#Person2#: 고마워,.#Person1#: 선물이야. 마음에 들었으면 좋겠다.#Person2#: 와, 좋다! 이거 오랫동안 기다렸잖아.#Person1#: 그 말 들으니 정말.#Person2#: 이리 와봐, 친구들 소개할게.","Lisa가 Aims에게 생일 선물을 주었고, Aims는 그 선물을 매우 좋아합니다.",생일 축하
train_6_aug,"#Person1#: 왔어요.#Person2#: 감사합니다. 얼마죠?#Person1#: .#Person2#: 어떻게 가능하죠?#Person1#: 음, 기본 2킬로미터까지 2달러이고, 그 이후로 200미터마다 20센트씩이에요.#Person2#: 알겠어요. 감사합니다.",#Person1#이 #Person2#에게 택시 요금을 설명합니다.,택시 요금 설명
train_7_aug,"#Person1#: ?#Person2#: 네. 지난주에 이력서를 보냈어요. 회계 지원하려고요.#Person1#: 이름이 어떻게?#Person2#: 제 Judy Liao입니다. L I A O로 쓰여요.#Person1#: 알겠습니다. 혹시 지원 궁금한 게 있으세요?#Person2#: 특별한 건 없고, 근처에 와서 이력서를 확인하고 싶어서 들렀어요.#Person1#: 아, 괜찮아요. 잠시만 기다리시면 볼게요. Judy Liao. 잠시만요. 네, 여기 있네요. Liao. 이력서를 받았습니다.#Person2#: .#Person1#: 또 다른 도와드릴 일이?#Person2#: 네, 있을 수도 있어요. 신문 광고에 이력서랑 자기소개서, 추천서 두 장을 보내라고 했는데요. 봉투에 넣어서 보냈습니다. 추가로 보내야 할 게 더?#Person1#: 아닙니다, 그것만 있으면.#Person2#: 면접 일정은 언제쯤 잡을까요?#Person1#: 정확히는 모르겠어요. 아직도 이력서를 받고 있는 중이에요. 아마 일주일이나 이주일 후에 지원자들에게 전화가 갈 같아요.#Person2#: 알겠습니다. 도와주셔서 감사합니다. 아주 친절하시네요.#Person1#: 추가로 궁금하신 점이 있으시면 언제든지 전화.#Person2#: .#Person1#: 고맙습니다. 안녕히.","Judy Liao가 회계 보조직에 지원 중입니다. 그녀는 #Person1#에게 자신의 이력서를 받았는지 확인하려고 질문했고, #Person1#이 이를 확인해 줍니다. #Person1#은 Judy에게 추가로 제출할 자료는 없다고 하고, 일주일이나 이주일 후에 지원자들에게 연락을 줄 것이라고 말합니다.",취업 지원
train_8_aug,"#Person1#: 이거 기본 컴퓨터 패키지가 괜찮아요. 좋은 CPU에 256MB 램, 그리고 DVD 플레이어도.#Person2#: 모뎀도 포함되어?#Person1#: 네, 내장 모뎀이 전화선을 컴퓨터 뒤에 꽂기만 하면 돼요.#Person2#: 모니터는?#Person1#: 15인치 모니터가 포함돼요. 원하시면, 추가 비용을 내고 17인치 모니터로 바꾸실 수 있어요.#Person2#: 괜찮아요. 충분해요. 좋아요, 그걸로 할게요.","#Person1#은 #Person2#에게 기본 컴퓨터 패키지를 설명하며, #Person2#는 그 패키지에 만족하여 구매하기로 결정합니다.",컴퓨터 패키지 구매
train_9_aug,"#Person1#: , 비자 사무실이 어디 있는지 아세요?#Person2#: 네, 알아요. 제가 가드릴게요.#Person1#: .#Person2#: 유학이나 취업 준비하시나요?#Person1#: 유학 가고 싶어요.#Person2#: 뭘 건데요?#Person1#: 영어 문학을 싶어요.#Person2#: 비자는 받으셨어요?#Person1#: . 오늘 비자 담당자와 인터뷰가 있어요.#Person2#: 아, 그렇군요. 처음 면접 보시는?#Person1#: 아니요, 이미 3번이나 왔어요.","#Person1#은 비자 담당자와의 인터뷰를 앞두고 있으며, #Person2#에게 비자 사무실로 가는 길을 묻고 있습니다.",비자 발급 준비
